id,chapter,area,reminder,dist_km,age,attend
166,6,urban,1,1.7,34,1
167,6,urban,1,4.0,26,1
168,6,urban,1,3.3,34,0
169,6,urban,0,2.4,35,0
170,6,urban,0,1.2,38,0
171,6,urban,1,4.5,35,1
172,6,urban,1,2.9,25,1
173,6,urban,0,2.1,33,0
174,6,urban,0,4.0,28,0
175,6,urban,0,1.5,37,0
176,6,urban,0,3.9,18,0
177,6,urban,0,4.0,30,1
178,6,urban,1,2.2,25,0
179,6,urban,1,1.3,38,0
180,6,urban,0,4.0,36,1
181,7,rural,1,4.4,37,1
182,7,rural,0,10.0,39,1
183,7,rural,1,9.6,37,1
184,7,rural,0,9.3,26,1
185,7,rural,1,9.5,21,1
186,7,rural,0,5.9,32,0
187,7,rural,0,5.3,25,1
188,7,rural,0,6.3,35,0
189,7,rural,0,5.7,40,1
190,7,rural,0,8.0,21,0
191,7,rural,1,12.0,19,1
192,7,rural,1,4.0,33,1
193,7,rural,1,7.1,36,1
194,7,rural,0,5.6,23,0
195,7,rural,1,10.1,22,0
196,7,rural,1,4.2,30,1
197,7,rural,1,9.3,19,1
198,7,rural,1,6.0,20,1
199,7,rural,1,10.7,18,1
200,7,rural,0,4.5,22,1
201,7,rural,0,6.2,21,0
202,7,rural,0,5.5,33,0
203,7,rural,1,10.0,39,0
204,7,rural,0,5.5,32,0
205,7,rural,1,9.0,26,0
206,7,rural,1,5.9,19,0
207,7,rural,0,10.3,23,1
208,7,rural,1,8.8,35,0
209,7,rural,0,11.8,29,0
210,7,rural,0,8.3,40,0
211,8,rural,0,7.5,22,0
212,8,rural,0,10.1,32,1
213,8,rural,1,8.2,20,1
214,8,rural,1,6.6,27,1
215,8,rural,0,7.1,26,1
216,8,rural,0,5.0,30,0
217,8,rural,1,10.8,27,1
218,8,rural,0,10.7,34,0
219,8,rural,1,6.6,28,1
220,8,rural,0,7.1,36,0
221,8,rural,0,5.0,32,0
222,8,rural,1,8.5,36,0
223,8,rural,1,8.3,27,0
224,8,rural,1,5.6,30,1
225,8,rural,0,4.8,29,1
226,8,rural,0,4.5,27,0
227,8,rural,1,9.2,28,1
228,8,rural,1,6.6,26,1
229,8,rural,1,10.0,34,1
230,8,rural,1,5.0,28,0
231,8,rural,1,6.6,28,0
232,8,rural,0,7.6,26,0
233,8,rural,0,11.3,30,0
234,8,rural,0,11.4,36,0
235,8,rural,0,5.1,34,0
236,8,rural,1,10.8,26,0
237,8,rural,0,9.6,28,0
238,8,rural,1,11.5,38,1
239,8,rural,0,6.5,37,0
240,8,rural,1,8.3,23,1
241,9,rural,1,11.2,33,0
242,9,rural,0,6.3,24,0
243,9,rural,1,10.9,25,1
244,9,rural,0,9.4,35,0
245,9,rural,1,5.5,33,0
246,9,rural,1,10.5,26,1
247,9,rural,0,4.1,35,0
248,9,rural,0,8.1,33,1
249,9,rural,1,8.9,34,0
250,9,rural,0,8.7,19,0
251,9,rural,0,11.9,18,1
252,9,rural,1,6.4,40,0
253,9,rural,1,8.3,27,1
254,9,rural,0,12.0,28,0
255,9,rural,0,8.3,36,0
256,9,rural,1,6.3,31,1
257,9,rural,0,10.5,34,0
258,9,rural,0,9.0,27,0
259,9,rural,0,5.0,32,0
260,9,rural,0,8.4,23,1
261,9,rural,1,4.1,31,0
262,9,rural,0,8.5,29,0
263,9,rural,1,6.3,39,0
264,9,rural,1,9.4,20,0
265,9,rural,1,10.8,30,1
266,9,rural,1,6.2,29,0
267,9,rural,0,10.8,28,0
268,9,rural,1,10.4,33,1
269,9,rural,0,7.3,18,0
270,9,rural,1,10.5,29,0
271,10,rural,1,10.2,21,1
272,10,rural,1,9.8,18,1
273,10,rural,1,8.9,19,1
274,10,rural,0,8.3,29,1
275,10,rural,0,9.2,21,0
276,10,rural,1,9.4,39,0
277,10,rural,1,12.0,39,1
278,10,rural,0,7.8,40,0
279,10,rural,0,10.3,39,0
280,10,rural,1,10.9,21,0
281,10,rural,1,6.4,34,1
282,10,rural,0,7.1,37,0
283,10,rural,1,4.8,30,0
284,10,rural,0,9.6,23,0
285,10,rural,1,7.3,35,1
286,10,rural,1,7.9,35,0
287,10,rural,0,10.3,37,1
288,10,rural,1,7.9,18,0
289,10,rural,0,9.8,29,0
290,10,rural,1,11.7,26,1
291,10,rural,0,9.0,27,0
292,10,rural,0,10.7,25,0
293,10,rural,0,6.2,25,0
294,10,rural,0,5.0,24,0
295,10,rural,0,9.0,19,0
296,10,rural,1,8.9,22,0
297,10,rural,1,6.2,33,0
298,10,rural,1,6.1,24,1
299,10,rural,0,8.8,25,1
300,10,rural,0,8.8,23,0
301,11,rural,1,8.0,39,0
302,11,rural,0,7.4,18,0
303,11,rural,1,10.6,37,1
304,11,rural,1,9.9,26,0
305,11,rural,1,11.9,28,1
306,11,rural,1,9.8,30,1
307,11,rural,0,6.6,22,1
308,11,rural,1,11.2,22,0
309,11,rural,0,4.3,20,1
310,11,rural,1,12.0,27,1
311,11,rural,0,6.2,19,0
312,11,rural,1,4.6,30,1
313,11,rural,1,9.8,40,1
314,11,rural,1,9.4,26,1
315,11,rural,0,11.1,21,0
316,11,rural,0,10.4,38,0
317,11,rural,0,5.0,26,0
318,11,rural,0,9.4,37,0
319,11,rural,0,7.8,31,0
320,11,rural,1,7.2,25,0
321,11,rural,0,8.4,19,0
322,11,rural,0,4.9,25,1
323,11,rural,1,7.5,35,1
324,11,rural,0,8.3,34,1
325,11,rural,1,5.0,40,1
326,11,rural,1,7.0,38,0
327,11,rural,0,6.9,35,0
328,11,rural,1,9.8,39,0
329,11,rural,0,9.0,32,0
330,11,rural,0,5.2,36,1
331,12,rural,0,7.7,31,0
332,12,rural,1,7.4,29,1
333,12,rural,1,8.8,19,1
334,12,rural,0,10.2,38,0
335,12,rural,1,4.0,19,0
336,12,rural,0,8.7,34,0
337,12,rural,0,6.9,26,0
338,12,rural,1,8.5,38,1
339,12,rural,1,7.8,40,1
340,12,rural,0,10.5,25,1
341,12,rural,0,11.6,23,1
342,12,rural,0,4.3,40,1
343,12,rural,0,11.0,29,1
344,12,rural,1,9.0,19,0
345,12,rural,0,7.3,29,1
346,12,rural,1,10.5,32,0
347,12,rural,0,5.9,37,0
348,12,rural,1,4.4,39,1
349,12,rural,1,8.1,35,0
350,12,rural,1,7.9,28,0
351,12,rural,1,5.0,36,1
352,12,rural,1,11.2,30,0
353,12,rural,1,11.6,30,0
354,12,rural,1,4.8,28,0
355,12,rural,0,6.6,25,0
356,12,rural,0,7.7,33,0
357,12,rural,0,9.2,39,0
358,12,rural,1,5.6,32,1
359,12,rural,0,5.0,33,0
360,12,rural,0,10.7,22,1
